t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=C:\\Users\\shres\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="open config file" path=D:\\ai-resume\\resume-matcher-main\\ngrok-tunnels.yml err=nil
t=2026-01-20T17:00:45+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-01-20T17:00:45+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-20T17:00:45+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-20T17:00:45+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-20T17:00:46+0530 lvl=info msg="started tunnel" obj=tunnels name=frontend addr=http://localhost:3000 url=https://lorelai-monozygotic-harder.ngrok-free.dev
t=2026-01-20T17:00:52+0530 lvl=info msg=start pg=/api/tunnels id=4ce6b4afeeea4948
t=2026-01-20T17:00:52+0530 lvl=info msg=end pg=/api/tunnels id=4ce6b4afeeea4948 status=200 dur=0s
t=2026-01-20T17:02:55+0530 lvl=info msg="join connections" obj=join id=b95ac324d5f7 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:02:55+0530 lvl=info msg="join connections" obj=join id=b0576ea2862d l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:02:55+0530 lvl=info msg="join connections" obj=join id=6efeed405fc3 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:02:55+0530 lvl=info msg="join connections" obj=join id=66022faaf406 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:02:55+0530 lvl=info msg="join connections" obj=join id=7fe41ec6d137 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:02:55+0530 lvl=info msg="join connections" obj=join id=f092fa5a0493 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:02:55+0530 lvl=info msg="join connections" obj=join id=f69955e41cea l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:02:55+0530 lvl=info msg="join connections" obj=join id=aff02034af79 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:02:55+0530 lvl=info msg="join connections" obj=join id=aea5efa784c5 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
t=2026-01-20T17:02:55+0530 lvl=info msg="join connections" obj=join id=c19e33a905a4 l=[::1]:3000 r=[2405:201:3039:b043:2447:8c5c:abd6:4074]:51893
